,play_name,act,scene,character,cue_num,cue
0,princessedelide,0,1,l-aurore,1,"Quand l’Amour à vos yeux offre un choix agréable,
Jeunes beautés laissez-vous enflammer.
Moquez-vous d’affecter cet orgueil indomptable,
Dont on vous dit qu’il est beau de s’armer :
Dans l’âge où l’on est aimable
Rien n’est si beau que d’aimer.
Soupirez librement pour un amant fidèle,
Et bravez ceux qui voudraient vous blâmer ;
Un cœur tendre est aimable, et le nom de cruelle
N’est pas un nom à se faire estimer :
Dans le temps où l’on est belle,
Rien n’est si beau que d’aimer."
1,princessedelide,0,2,valets-de-chiens,1,"Holà ? holà ? debout, debout, debout :
Pour la Chasse ordonnée il faut préparer tout :
Holà ? ho debout, vite debout."
2,princessedelide,0,2,valet-1,2,"Jusqu’aux plus sombres lieux le jour se communique,"
3,princessedelide,0,2,valet-2,3,L’air sur les fleurs en perles se résout.
4,princessedelide,0,2,valet-3,4,"Les Rossignols commencent leur Musique,
Et leurs petits concerts retentissent partout."
5,princessedelide,0,2,valets-de-chiens,5,"Sus, sus debout, vite debout !
Qu’est-ce ci, Lyciscas ? quoi ? tu ronfles encore,
Toi qui promettais tant de devancer l’Aurore ?
Allons debout, vite debout,
Pour la Chasse ordonnée il faut préparer tout,
Debout, vite debout, dépêchons, debout."
6,princessedelide,0,2,lyciscas,6,"Par la morbleu vous êtes de grands braillards vous autres, Et vous avez la gueule ouverte de bon matin !"
7,princessedelide,0,2,musiciens,7,"Ne vois-tu pas le jour qui se répand partout ?
Allons debout, Lyciscas debout."
8,princessedelide,0,2,lyciscas,8,Hé ! laissez-moi dormir encore un peu je vous conjure !
9,princessedelide,0,2,musiciens,9,"Non, non debout, Lyciscas debout."
10,princessedelide,0,2,lyciscas,10,Je ne vous demande plus qu’un petit quart d’heure !
11,princessedelide,0,2,musiciens,11,"Point, point debout, vite debout."
12,princessedelide,0,2,lyciscas,12,Hé ! je vous prie !
13,princessedelide,0,2,musiciens,13,Debout.
14,princessedelide,0,2,lyciscas,14,Un moment.
15,princessedelide,0,2,musiciens,15,Debout.
16,princessedelide,0,2,lyciscas,16,De grâce.
17,princessedelide,0,2,musiciens,17,Debout.
18,princessedelide,0,2,lyciscas,18,Eh.
19,princessedelide,0,2,musiciens,19,Debout.
20,princessedelide,0,2,lyciscas,20,Je...
21,princessedelide,0,2,musiciens,21,Debout.
22,princessedelide,0,2,lyciscas,22,J’aurai fait incontinent.
23,princessedelide,0,2,musiciens,23,"Non, non debout, Lyciscas debout :
Pour la Chasse ordonnée il faut préparer tout ;
Vite debout, dépêchons, debout."
24,princessedelide,0,2,lyciscas,24,"Eh bien laissez-moi, je vais me lever : Vous êtes d’étranges gens de me tourmenter comme cela : vous serez cause que je ne me porterai pas bien de toute la journée ; car, voyez-vous, le sommeil est nécessaire à l’homme, et lorsqu’on ne dort pas sa réfection, il arrive... que... on est..."
25,princessedelide,0,2,valet-1,25,Lyciscas.
26,princessedelide,0,2,valet-2,26,Lyciscas.
27,princessedelide,0,2,valet-3,27,Lyciscas.
28,princessedelide,0,2,valets-de-chiens,28,Lyciscas.
29,princessedelide,0,2,lyciscas,29,"Diable soit les brailleurs, je voudrais que vous eussiez la gueule pleine de bouillie bien chaude."
30,princessedelide,0,2,musiciens,30,"Debout, debout vite debout, dépêchons debout."
31,princessedelide,0,2,lyciscas,31,"Ah ! quelle fatigue, de ne pas dormir son soûl."
32,princessedelide,0,2,valet-1,32,Holà ? oh.
33,princessedelide,0,2,valet-2,33,Holà ? oh.
34,princessedelide,0,2,valet-3,34,Holà ? oh.
35,princessedelide,0,2,valets-de-chiens,35,Oh ! oh ! oh ! oh ! oh !
36,princessedelide,0,2,lyciscas,36,"Oh ! oh ! oh ! oh. La peste soit des gens avec leurs chiens de hurlements, je me donne au Diable si je ne vous assomme : Mais voyez un peu quel diable d’enthousiasme il leur prend, de me venir chanter aux oreilles comme cela, je..."
37,princessedelide,0,2,musiciens,37,Debout.
38,princessedelide,0,2,lyciscas,38,Encore.
39,princessedelide,0,2,musiciens,39,Debout.
40,princessedelide,0,2,lyciscas,40,Le diable vous emporte.
41,princessedelide,0,2,musiciens,41,Debout.
42,princessedelide,0,2,lyciscas,42,"Quoi toujours ? a-t-on jamais vu une pareille furie de chanter ? par le sang bleu j’enrage, puisque me voilà éveillé il faut que j’éveille les autres, et que je les tourmente comme on m’a fait. Allons ho ? Messieurs, debout, debout, vite c’est trop dormir. Je vais faire un bruit de Diable partout, debout, debout, debout ; Allons vite, ho, ho, ho ! Debout, debout, pour la Chasse ordonnée il faut préparer tout, debout, debout, Lyciscas debout ! Ho ! ho ! ho ! ho ! ho."
